respID,qID,altID,obsID,profileID,monthlyRent,location,distanceToMetro,squareFootage,fitnessCenter,twentyFourSevenConcierge,parking,communitySpace,utilitiesIncludedInRent
8,7,3,63,683,2000,More than 1.5,More than 20/5,Smaller than 600,yes,yes,no,no,no
8,8,1,64,493,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,no,yes,no
8,8,2,64,559,1500,Less than 1.5,More than 20/5,Smaller than 600,no,no,no,yes,no
8,8,3,64,603,2500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,no,no
9,1,1,65,597,2500,Less than 1.5,More than 20/5,Larger than 600,yes,yes,yes,no,no
9,1,2,65,30,2500,More than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,yes
9,1,3,65,205,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,no,yes
9,2,1,66,216,2500,More than 1.5,More than 20/5,Larger than 600,yes,yes,yes,no,yes
9,2,2,66,612,2500,More than 1.5,More than 20/5,Smaller than 600,no,yes,yes,no,no
9,2,3,66,92,2000,Less than 1.5,More than 20/5,Larger than 600,no,no,yes,yes,yes
9,3,1,67,476,2000,Less than 1.5,More than 20/5,Larger than 600,no,no,yes,yes,no
9,3,2,67,16,1500,More than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,yes,yes
9,3,3,67,6,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,yes,yes
9,4,1,68,151,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,no,no,yes,yes
9,4,2,68,501,2500,Less than 1.5,More than 20/5,Larger than 600,yes,yes,no,yes,no
9,4,3,68,188,2000,Less than 1.5,More than 20/5,Larger than 600,no,no,no,yes,yes
9,5,1,69,563,2000,More than 1.5,More than 20/5,Smaller than 600,no,no,no,yes,no
9,5,2,69,159,2500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,no,yes,yes
9,5,3,69,412,1500,More than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,no
9,6,1,70,761,2000,More than 1.5,Less than 20/5,Larger than 600,no,no,no,no,no
9,6,2,70,235,1500,Less than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,yes
9,6,3,70,543,2500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,no,yes,no
9,7,1,71,83,2000,More than 1.5,More than 20/5,Smaller than 600,no,no,yes,yes,yes
9,7,2,71,491,2000,More than 1.5,More than 20/5,Smaller than 600,yes,yes,no,yes,no
9,7,3,71,118,1500,More than 1.5,More than 20/5,Larger than 600,yes,yes,no,yes,yes
9,8,1,72,449,2000,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,yes,no
9,8,2,72,749,2000,More than 1.5,Less than 20/5,Smaller than 600,no,no,no,no,no
9,8,3,72,293,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,no,yes
10,1,1,73,144,2500,More than 1.5,More than 20/5,Larger than 600,no,yes,no,yes,yes
10,1,2,73,203,2000,More than 1.5,More than 20/5,Smaller than 600,yes,yes,yes,no,yes
10,1,3,73,445,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,yes,yes,no
10,2,1,74,524,2000,Less than 1.5,More than 20/5,Larger than 600,no,yes,no,yes,no
10,2,2,74,378,2500,More than 1.5,Less than 20/5,Larger than 600,no,no,no,no,yes
10,2,3,74,481,1500,Less than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,yes,no
10,3,1,75,580,1500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,no,no
10,3,2,75,150,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,no,no,yes,yes
10,3,3,75,623,2000,More than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,no
10,4,1,76,529,1500,Less than 1.5,Less than 20/5,Smaller than 600,yes,no,no,yes,no
10,4,2,76,187,1500,Less than 1.5,More than 20/5,Larger than 600,no,no,no,yes,yes
10,4,3,76,766,1500,More than 1.5,More than 20/5,Larger than 600,no,no,no,no,no
10,5,1,77,740,2000,Less than 1.5,More than 20/5,Larger than 600,yes,no,no,no,no
10,5,2,77,310,1500,More than 1.5,More than 20/5,Larger than 600,yes,yes,no,no,yes
10,5,3,77,676,1500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,no,no
10,6,1,78,358,1500,More than 1.5,More than 20/5,Larger than 600,yes,no,no,no,yes
10,6,2,78,718,1500,More than 1.5,More than 20/5,Larger than 600,no,yes,no,no,no
10,6,3,78,544,1500,More than 1.5,Less than 20/5,Larger than 600,yes,no,no,yes,no
10,7,1,79,238,1500,More than 1.5,More than 20/5,Larger than 600,no,yes,yes,no,yes
10,7,2,79,23,2000,More than 1.5,More than 20/5,Larger than 600,yes,yes,yes,yes,yes
10,7,3,79,634,1500,More than 1.5,More than 20/5,Smaller than 600,yes,no,yes,no,no
10,8,1,80,70,1500,More than 1.5,More than 20/5,Larger than 600,yes,no,yes,yes,yes
10,8,2,80,101,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,yes,yes
10,8,3,80,733,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,no,no,no
11,1,1,81,142,1500,More than 1.5,More than 20/5,Larger than 600,no,yes,no,yes,yes
11,1,2,81,697,1500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,no,no,no
11,1,3,81,171,2500,Less than 1.5,Less than 20/5,Smaller than 600,no,no,no,yes,yes
11,2,1,82,401,2000,More than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,yes,no
11,2,2,82,451,1500,Less than 1.5,More than 20/5,Larger than 600,yes,no,yes,yes,no
11,2,3,82,161,2000,More than 1.5,Less than 20/5,Larger than 600,yes,no,no,yes,yes
11,3,1,83,64,1500,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,yes,yes
11,3,2,83,280,1500,More than 1.5,Less than 20/5,Larger than 600,no,no,yes,no,yes
11,3,3,83,339,2500,Less than 1.5,Less than 20/5,Smaller than 600,yes,no,no,no,yes
11,4,1,84,390,2500,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,yes,yes,no
11,4,2,84,380,2000,Less than 1.5,More than 20/5,Larger than 600,no,no,no,no,yes
11,4,3,84,560,2000,Less than 1.5,More than 20/5,Smaller than 600,no,no,no,yes,no
11,5,1,85,722,2000,Less than 1.5,Less than 20/5,Smaller than 600,yes,no,no,no,no
11,5,2,85,384,2500,More than 1.5,More than 20/5,Larger than 600,no,no,no,no,yes
11,5,3,85,188,2000,Less than 1.5,More than 20/5,Larger than 600,no,no,no,yes,yes
11,6,1,86,398,2000,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,yes,no
11,6,2,86,688,1500,More than 1.5,Less than 20/5,Larger than 600,yes,yes,no,no,no
11,6,3,86,301,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,no,no,yes
11,7,1,87,485,2000,More than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,yes,no
11,7,2,87,401,2000,More than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,yes,no
11,7,3,87,217,1500,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,no,yes
11,8,1,88,96,2500,More than 1.5,More than 20/5,Larger than 600,no,no,yes,yes,yes
11,8,2,88,410,2000,Less than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,no
11,8,3,88,288,2500,More than 1.5,More than 20/5,Larger than 600,no,no,yes,no,yes
12,1,1,89,335,2000,More than 1.5,More than 20/5,Larger than 600,no,yes,no,no,yes
12,1,2,89,421,1500,Less than 1.5,Less than 20/5,Larger than 600,no,yes,yes,yes,no
12,1,3,89,166,1500,More than 1.5,More than 20/5,Larger than 600,yes,no,no,yes,yes
12,2,1,90,565,1500,Less than 1.5,Less than 20/5,Larger than 600,no,no,no,yes,no
12,2,2,90,555,2500,Less than 1.5,Less than 20/5,Smaller than 600,no,no,no,yes,no
12,2,3,90,224,2000,Less than 1.5,More than 20/5,Smaller than 600,no,yes,yes,no,yes
12,3,1,91,302,2000,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,no,no,yes
12,3,2,91,397,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,yes,no
12,3,3,91,720,2500,More than 1.5,More than 20/5,Larger than 600,no,yes,no,no,no
12,4,1,92,7,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,yes,yes,yes,yes
12,4,2,92,257,2000,More than 1.5,Less than 20/5,Larger than 600,yes,no,yes,no,yes
12,4,3,92,277,1500,Less than 1.5,Less than 20/5,Larger than 600,no,no,yes,no,yes
12,5,1,93,13,1500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,yes,yes,yes
12,5,2,93,368,2000,Less than 1.5,More than 20/5,Smaller than 600,no,no,no,no,yes
12,5,3,93,481,1500,Less than 1.5,Less than 20/5,Smaller than 600,yes,yes,no,yes,no
12,6,1,94,39,2500,Less than 1.5,Less than 20/5,Larger than 600,no,yes,yes,yes,yes
12,6,2,94,414,2500,More than 1.5,Less than 20/5,Smaller than 600,no,yes,yes,yes,no
12,6,3,94,255,2500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,yes,no,yes
12,7,1,95,321,2500,Less than 1.5,More than 20/5,Smaller than 600,no,yes,no,no,yes
12,7,2,95,570,2500,More than 1.5,Less than 20/5,Larger than 600,no,no,no,yes,no
12,7,3,95,693,2500,Less than 1.5,More than 20/5,Larger than 600,yes,yes,no,no,no
12,8,1,96,151,1500,Less than 1.5,More than 20/5,Smaller than 600,yes,no,no,yes,yes
12,8,2,96,255,2500,Less than 1.5,Less than 20/5,Larger than 600,yes,no,yes,no,yes
12,8,3,96,111,2500,Less than 1.5,Less than 20/5,Larger than 600,yes,yes,no,yes,yes
